pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-31,95.2,-2.54,5.59,"Busch, Michael",683737,667755,field_out,hit_into_play,,,,,1,Michael Busch flies out to center fielder Mike Trout.,R,L,R,CHC,LAA,X,8.0,fly_ball,0,0,2026,-0.7,1.04,-0.4310830549665831,2.9349375583556885,,,,0,6,Bot,123.84,45.41,,,,,7.113654103909227,-138.47100581561068,-3.5047096815751657,-10.71270824897485,32.94234851295295,-18.167786234378323,3.166469816,1.598031496,380.0,99.6,28.0,95.3,2069,6.5,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.97,0.537,0.939,0.0,1.0,0.0,0.0,6.0,47,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,234,-0.035,-0.259,67.1,6.8,1.74,0.259,99.6,-2,-2,0.26,0.26,27,28,28,29,3,2,,,,,1.49,0.7,-0.7,,13.478465281285732,-1.2746157701278429,30.74963693335031,42.0196885332105,28.71826915907666
SI,2026-03-31,97.2,-2.29,5.62,"Busch, Michael",683737,667755,force_out,hit_into_play,,,,,4,"Michael Busch grounds into a force out, first baseman Nolan Schanuel to shortstop Zach Neto. Miguel Amaya out at 2nd. Michael Busch to 1st.",R,L,R,CHC,LAA,X,3.0,ground_ball,3,1,2026,-0.74,0.03,-0.6101059582691017,2.2365097097621973,,,665804.0,0,3,Bot,145.67,171.86,,,,,6.2081290753496505,-141.41399947274476,-3.437780409627446,-11.333708696414767,31.52778164548093,-31.139012529499038,3.166469816,1.598031496,3.0,74.3,-33.0,97.9,1775,6.6,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.86,0.049,0.042,0.0,1.0,0.0,0.0,2.0,22,5,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,230,-0.061,-0.488,66.1,7.0,0.051,0.488,88.0,0,0,0.619,0.619,27,28,28,29,2,1,,,,,2.37,0.74,-0.74,,18.701475404896897,6.720081822312482,30.8889390227187,45.153601787176896,29.56386201411357
FF,2026-03-31,97.6,-1.96,5.87,"Busch, Michael",683737,667755,,ball,,,,,12,Ball,R,L,R,CHC,LAA,B,,,2,1,2026,-0.65,1.15,1.4576517318095878,3.185777799861118,,,665804.0,0,3,Bot,,,,,,,10.6930438566781,-141.8206898516462,-4.2629045792002,-11.216599488650424,31.660719081514213,-15.765456785085426,3.166469816,1.598031496,,,,98.5,2193,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.7,,,,,,,,22,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,222,0.018,0.116,,,,-0.116,,0,0,0.601,0.601,27,28,28,29,2,1,,,,,1.24,0.65,-0.65,,,,,,
KC,2026-03-31,84.6,-2.07,5.77,"Busch, Michael",683737,667755,,ball,,,,,13,Ball,R,L,R,CHC,LAA,B,,,1,1,2026,0.97,-0.38,-0.8500555423180164,2.105258242696545,,,665804.0,0,3,Bot,,,,,,,0.8457089287987075,-123.31529816387872,-1.2460448053345847,9.7291344858235,23.69897889762411,-36.00589551079445,3.166469816,1.598031496,,,,85.5,2264,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.77,,,,,,,,22,3,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,37,0.008,0.044,,,,-0.044,,0,0,0.593,0.593,27,28,28,29,2,1,,,,,3.54,-0.97,0.97,,,,,,
FF,2026-03-31,97.5,-2.24,5.69,"Busch, Michael",683737,667755,,swinging_strike,,,,,1,Swinging Strike,R,L,R,CHC,LAA,S,,,1,0,2026,-0.88,1.25,-0.3853945500002764,2.800167393456528,,,665804.0,0,3,Bot,,,,,,,7.029423652438032,-141.77425278425525,-4.999801334919171,-13.514719866613646,32.85740766520399,-14.396191242588474,3.166469816,1.598031496,,,,98.0,2255,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.85,,,,,,,,22,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,225,-0.008,-0.048,67.2,6.5,,0.048,,0,0,0.601,0.601,27,28,28,29,2,1,,,,,1.16,0.88,-0.88,,8.182594773466974,13.335920021729304,33.33069348680282,43.17496392760431,20.70117111906149
SI,2026-03-31,96.0,-2.41,5.63,"Busch, Michael",683737,667755,,ball,,,,,11,Ball,R,L,R,CHC,LAA,B,,,0,0,2026,-1.17,0.3,-0.5066500404987413,3.412256461506197,,,665804.0,0,3,Bot,,,,,,,7.702884594456695,-139.63077810084886,-0.8120344469475298,-16.976200941065553,29.5229760348216,-28.29006101033378,3.166469816,1.598031496,,,,96.8,1951,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.85,,,,,,,,22,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,230,0.006,0.04,,,,-0.04,,0,0,0.595,0.595,27,28,28,29,2,1,,,,,2.17,1.17,-1.17,,,,,,
FS,2026-03-31,92.6,-2.28,5.63,"Busch, Michael",683737,667755,field_out,hit_into_play,,,,,7,"Michael Busch grounds out, second baseman Oswald Peraza to first baseman Nolan Schanuel.",R,L,R,CHC,LAA,X,4.0,ground_ball,2,2,2026,-0.86,-0.38,-0.6189629868614276,1.5461513664894602,,,,0,1,Bot,136.91,145.03,,,,,6.135631634651624,-134.792175297438,-3.615328999337728,-11.733749889237078,27.230440530377454,-36.2366649045132,3.166469816,1.598031496,4.0,59.6,-20.0,93.7,1379,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.72,0.049,0.042,0.0,1.0,0.0,0.0,2.0,5,5,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,242,-0.019,-0.232,64.5,7.1,0.05,0.232,88.0,0,0,0.545,0.545,27,28,28,29,1,0,,,,,3.02,0.86,-0.86,,10.593325128312518,-1.3930979518619655,37.23566698162617,45.66208552283072,34.06019954895022
KC,2026-03-31,85.6,-2.07,5.91,"Busch, Michael",683737,667755,,called_strike,,,,,9,Called Strike,R,L,R,CHC,LAA,S,,,2,1,2026,0.67,-0.49,0.5599784670488912,1.7956065403580297,,,,0,1,Bot,,,,,,,4.78517316745943,-124.59501281575946,-2.1569483531858986,5.89347405267666,26.625131423085683,-36.98319074553453,3.166469816,1.598031496,,,,86.0,2270,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.84,,,,,,,,5,4,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,35,-0.006,-0.073,,,,0.073,,0,0,0.551,0.551,27,28,28,29,1,0,,,,,3.61,-0.67,0.67,,,,,,
FF,2026-03-31,97.6,-2.43,5.64,"Busch, Michael",683737,667755,,ball,,,,,11,Ball,R,L,R,CHC,LAA,B,,,1,1,2026,-0.8,1.53,-1.1437953591887342,3.110219880214143,,,,0,1,Bot,,,,,,,5.325894535582215,-141.84237783102444,-4.578325932239366,-12.092963881875477,39.34676016047046,-10.867183167047486,3.166469816,1.598031496,,,,97.2,2294,6.6,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.9,,,,,,,,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,227,0.004,0.055,,,,-0.055,,0,0,0.547,0.547,27,28,28,29,1,0,,,,,0.91,0.8,-0.8,,,,,,
SI,2026-03-31,95.8,-2.27,5.66,"Busch, Michael",683737,667755,,ball,,,,,13,Ball,R,L,R,CHC,LAA,B,,,0,1,2026,-1.34,0.15,-1.31772975684501,1.9790359090727256,,,,0,1,Bot,,,,,,,5.595181576973952,-139.41821783081215,-4.2606616185613735,-18.7407837396961,31.51932316753341,-29.452862905148688,3.166469816,1.598031496,,,,96.3,1870,6.6,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.9,,,,,,,,5,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,234,0.002,0.031,,,,-0.031,,0,0,0.545,0.545,27,28,28,29,1,0,,,,,2.33,1.34,-1.34,,,,,,
FF,2026-03-31,97.7,-2.47,5.65,"Busch, Michael",683737,667755,,called_strike,,,,,5,Called Strike,R,L,R,CHC,LAA,S,,,0,0,2026,-0.67,1.19,0.1372743949266687,2.360546343858493,,,,0,1,Bot,,,,,,,8.517183982740256,-141.91287066756232,-5.952901229657524,-11.04744878660277,31.968997882624272,-14.869004359200218,3.166469816,1.598031496,,,,97.9,2337,6.5,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.03,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,233,-0.003,-0.039,,,,0.039,,0,0,0.548,0.548,27,28,28,29,1,0,,,,,1.2,0.67,-0.67,,,,,,
ST,2026-03-30,78.3,-2.76,5.82,"Busch, Michael",683737,696270,walk,ball,,,,,11,Michael Busch walks.,R,L,R,CHC,LAA,B,,,3,2,2026,1.03,-0.11,-1.3619133560719234,2.521963169447263,,,,0,4,Bot,,,,,,,1.0294994536193074,-114.04927688565864,0.1366991563748218,8.850927017083173,20.631299899552943,-33.32993319070317,3.166469816,1.598031496,,,,78.4,2417,6.3,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.22,,0.709799,0.7,1.0,0.0,0.0,,32,6,Sweeper,6,0,6,0,0,6,6,0,Strategic,Strategic,80,0.003,0.356,,,,-0.356,,6,6,0.969,0.969,23,28,24,29,3,2,,1.0,,,3.81,-1.03,1.03,18.2,,,,,
FS,2026-03-30,83.5,-3.01,5.62,"Busch, Michael",683737,696270,,ball,,,,,13,Ball,R,L,R,CHC,LAA,B,,,2,2,2026,-1.07,0.03,-1.3862751067761574,0.847792341240956,,,,0,4,Bot,,,,,,,5.842662479223122,-121.38719787864542,-4.275396795146784,-11.751870449520826,26.63703814965547,-31.133282517048013,3.166469816,1.598031496,,,,83.1,1806,6.4,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.14,,,,,,,,32,5,Split-Finger,6,0,6,0,0,6,6,0,Standard,Strategic,241,0.001,0.112,,,,-0.112,,6,6,0.968,0.968,23,28,24,29,3,2,,1.0,,,3.28,1.07,-1.07,16.6,,,,,
FC,2026-03-30,90.9,-2.56,6.04,"Busch, Michael",683737,696270,,ball,,,,,14,Ball,R,L,R,CHC,LAA,B,,,1,2,2026,0.12,1.05,1.9842795378282707,2.314296964416416,,,,0,4,Bot,,,,,,,11.011660587452411,-131.98928495632052,-5.536843221548607,-0.7870974224616649,25.755719482878074,-18.827078016388484,3.166469816,1.598031496,,,,91.4,2594,6.5,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.98,,,,,,,,32,4,Cutter,6,0,6,0,0,6,6,0,Standard,Strategic,212,0.001,0.043,,,,-0.043,,6,6,0.967,0.967,23,28,24,29,3,2,,1.0,,,1.7,-0.12,0.12,22.8,,,,,
FC,2026-03-30,91.6,-2.64,5.98,"Busch, Michael",683737,696270,,foul,,,,,6,Foul,R,L,R,CHC,LAA,S,,,1,1,2026,0.02,0.83,0.3537807017250348,2.604615257236357,,,,0,4,Bot,,,,,,,7.412893062765381,-133.2500779417641,-4.270934560322278,-1.284854567786227,28.3273248267369,-21.50154956557609,3.166469816,1.598031496,113.0,75.2,9.0,91.6,2539,6.3,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.22,,,,,,,,32,3,Cutter,6,0,6,0,0,6,6,0,Strategic,Strategic,211,-0.001,-0.061,69.7,5.8,,0.061,88.0,6,6,0.968,0.968,23,28,24,29,3,2,,1.0,,,1.88,-0.02,0.02,20.7,-2.525787679320428,17.450500025224937,39.58896061892741,32.69279216788785,19.804227689860003
FS,2026-03-30,79.9,-3.07,5.75,"Busch, Michael",683737,696270,,ball,,,,,13,Ball,R,L,R,CHC,LAA,B,,,0,1,2026,-1.14,-0.13,-0.6190236908882112,1.213525976489397,,,,0,4,Bot,,,,,,,7.470324672080982,-116.04160736783804,-2.658741369379479,-11.810008814696332,24.085893614422247,-32.99819628412168,3.166469816,1.598031496,,,,79.0,1782,6.0,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.5,,,,,,,,32,2,Split-Finger,6,0,6,0,0,6,6,0,Standard,Strategic,239,0.0,0.031,,,,-0.031,,6,6,0.968,0.968,23,28,24,29,3,2,,1.0,,,3.75,1.14,-1.14,14.2,,,,,
FS,2026-03-30,81.0,-3.01,5.73,"Busch, Michael",683737,696270,,foul,,,,,13,Foul,R,L,R,CHC,LAA,S,,,0,0,2026,-0.78,0.43,-0.6146801159617556,1.462334822969655,,,,0,4,Bot,,,,,,,6.765157719763367,-117.6988753769257,-3.397966629795198,-8.618674081632667,24.169792187955416,-27.75625226454257,3.166469816,1.598031496,4.0,66.5,-22.0,80.3,1949,6.1,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.39,,,,,,,,32,1,Split-Finger,6,0,6,0,0,6,6,0,Infield shade,Strategic,248,0.0,-0.039,67.1,7.8,,0.039,88.0,6,6,0.968,0.968,23,28,24,29,3,2,,1.0,,,3.08,0.78,-0.78,17.5,27.965917405133425,-4.812947591184679,39.21763835742502,44.70538420362623,38.21533106302124
FC,2026-03-30,91.6,-2.9,5.83,"Busch, Michael",683737,696270,field_out,hit_into_play,,,,,5,"Michael Busch grounds out, pitcher Ryan Johnson to first baseman Nolan Schanuel.",R,L,R,CHC,LAA,X,1.0,ground_ball,0,0,2026,-0.02,0.96,0.0308906188718735,2.2798051895154146,,,,2,2,Bot,128.7,182.96,,,,,7.37797296900886,-133.24170493242772,-5.00147953137172,-1.8448739430161676,28.094768573901607,-19.896271437679125,3.166469816,1.598031496,20.0,98.1,-5.0,92.1,2518,6.6,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.94,0.271,0.263,0.0,1.0,0.0,0.0,2.0,17,1,Cutter,3,0,3,0,0,3,3,0,Infield shade,Strategic,220,-0.006,-0.26,71.4,6.4,0.318,0.26,98.1,3,3,0.8,0.8,23,28,24,29,2,1,,1.0,,,1.76,0.02,-0.02,18.1,-0.7574661614681383,15.54327836493172,40.20173793789681,37.83010934462942,18.570935217739663
CH,2026-03-30,86.8,-2.16,5.92,"Busch, Michael",683737,641312,field_out,hit_into_play,,,,,7,Michael Busch lines out to right fielder Jo Adell.,R,L,R,CHC,LAA,X,9.0,line_drive,2,1,2026,-1.21,-0.28,-0.4110867285375927,1.936007741635972,,,,0,8,Bot,171.14,100.61,,,,,6.7064685538734805,-126.11270963387976,-2.42367209489262,-14.367184978351968,29.162454474180272,-34.80338410085311,3.166469816,1.598031496,269.0,86.3,23.0,86.8,1384,6.7,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.81,0.223,0.228,0.0,1.0,0.0,0.0,3.0,64,4,Changeup,7,2,7,2,2,7,7,2,Strategic,Standard,240,-0.001,-0.305,69.1,7.6,0.317,0.305,88.0,5,5,0.995,0.995,31,28,32,29,1,4,,1.0,,,3.35,1.21,-1.21,40.0,22.750356540986783,-10.568537985341164,37.09645506488653,42.55774328077215,42.15088464093506
CH,2026-03-30,86.8,-2.11,6.08,"Busch, Michael",683737,641312,,ball,,,,,11,Ball,R,L,R,CHC,LAA,B,,,1,1,2026,-0.42,0.29,-1.2208167690039482,3.843985344138456,,,,0,8,Bot,,,,,,,2.987022923648889,-126.33049444532548,0.434098716914775,-5.114249537257346,26.275826407463512,-29.412492027695176,3.166469816,1.598031496,,,,87.0,1454,6.5,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.04,,,,,,,,64,3,Changeup,7,2,7,2,2,7,7,2,Strategic,Standard,219,0.0,0.055,,,,-0.055,,5,5,0.995,0.995,31,28,32,29,1,4,,1.0,,,2.74,0.42,-0.42,39.2,,,,,
SL,2026-03-30,89.5,-2.57,5.77,"Busch, Michael",683737,641312,,foul,,,,,7,Foul,R,L,R,CHC,LAA,S,,,1,0,2026,0.58,0.49,-0.3376497469314128,1.969812560596297,,,,0,8,Bot,,,,,,,4.229029189755036,-130.3476204604669,-4.289194086746796,5.779683589751451,25.85704939016925,-25.857468499802746,3.166469816,1.598031496,,,,90.6,2600,6.8,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.72,,,,,,,,64,2,Slider,7,2,7,2,2,7,7,2,Standard,Standard,162,0.0,-0.05,65.0,7.8,,0.05,,5,5,0.995,0.995,31,28,32,29,1,4,,1.0,,,2.33,-0.58,0.58,38.8,25.134055231648432,-7.923363449078678,34.66174547968119,41.56718244772932,36.61495704963511
SL,2026-03-30,89.3,-2.55,5.91,"Busch, Michael",683737,641312,,ball,,,,,11,Ball,R,L,R,CHC,LAA,B,,,0,0,2026,0.6,0.48,-0.7235184199408063,3.4694637384135683,,,,0,8,Bot,,,,,,,3.1691003277280814,-130.12133438489496,-0.8625984221087484,6.166337838862581,26.917224483652184,-26.721183084686185,3.166469816,1.598031496,,,,90.0,2690,6.6,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.87,,,,,,,,64,1,Slider,7,2,7,2,2,7,7,2,Standard,Standard,164,0.0,0.041,,,,-0.041,,5,5,0.995,0.995,31,28,32,29,1,4,,1.0,,,2.37,-0.6,0.6,45.8,,,,,
SI,2026-03-30,93.1,2.54,5.59,"Busch, Michael",683737,664192,field_out,hit_into_play,,,,,12,Michael Busch grounds out to first baseman Nolan Schanuel.,R,L,L,CHC,LAA,X,3.0,ground_ball,3,2,2026,1.25,0.93,0.9199538144251956,2.8813560285780966,621020.0,807713.0,,2,5,Bot,153.55,161.66,,,,,-6.902518343680208,-135.31462565510444,-3.016005830456135,16.876181991570085,30.99149518127919,-20.31329778796485,3.166469816,1.598031496,19.0,87.4,-7.0,92.9,2318,6.4,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.14,0.151,0.154,0.0,1.0,0.0,0.0,2.0,44,7,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,147,-0.005,-0.258,65.7,6.0,0.197,0.258,88.0,6,6,0.978,0.978,33,28,33,29,1,3,2.0,1.0,,,1.72,1.25,1.25,42.8,11.803111261274251,-5.109670554442887,33.80717619045607,26.768954092174614,31.053002694325592
SI,2026-03-30,92.6,2.78,5.53,"Busch, Michael",683737,664192,,foul,,,,,14,Foul,R,L,L,CHC,LAA,S,,,3,2,2026,1.12,0.95,1.51196701130095,2.328835007272766,621020.0,807713.0,,2,5,Bot,,,,,,,-5.683183044524318,-134.70857895818511,-4.280555150977998,14.895697257916972,29.240510647148977,-19.83629906755845,3.166469816,1.598031496,7.0,57.8,-13.0,92.5,2299,6.3,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.25,,,,,,,,44,6,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,141,0.0,0.0,64.3,6.5,,0.0,88.0,6,6,0.978,0.978,33,28,33,29,1,3,2.0,1.0,,,1.71,1.12,1.12,41.6,16.9838279923745,-11.725863435610616,39.24242799350026,18.61220247415349,34.23401077244628
FF,2026-03-30,93.0,1.9,5.96,"Busch, Michael",683737,664192,,ball,,,,,11,Ball,R,L,L,CHC,LAA,B,,,2,2,2026,0.49,1.46,-1.0355424611113693,3.732867625223548,621020.0,807713.0,,2,5,Bot,,,,,,,-8.479317226517054,-135.11813959607758,-2.935014678353208,8.001836646425007,32.02306663211271,-13.949991920728111,3.166469816,1.598031496,,,,92.2,2322,6.1,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.38,,,,,,,,44,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,151,0.001,0.029,,,,-0.029,,6,6,0.977,0.977,33,28,33,29,1,3,2.0,1.0,,,1.21,0.49,0.49,55.8,,,,,
