pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-03-30,85.7,-0.84,6.45,"Caglianone, Jac",695506,680573,strikeout,swinging_strike,,,,,4,Jac Caglianone strikes out swinging.,R,L,R,KC,MIN,S,2.0,,3,2,2026,-1.35,0.61,-0.5533963466343115,2.530027947866167,,,,1,4,Bot,,,,,,,3.469236350199967,-124.78200519960691,-4.036117232307811,-14.762791652000216,25.390967152346327,-25.24137089918003,3.401673228,1.716732283,,,,86.6,871,6.9,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.62,,0.0,0.0,1.0,0.0,0.0,,31,7,Split-Finger,2,1,2,1,1,2,2,1,Infield shade,Standard,209,-0.018,-0.332,80.4,8.8,,0.332,,1,1,0.667,0.667,25,23,26,23,2,1,,1.0,,,2.5,1.35,-1.35,54.5,20.897450621021957,-33.17192833204356,25.367157633991965,41.9318448834276,47.95578429577232
FS,2026-03-30,87.3,-0.71,6.4,"Caglianone, Jac",695506,680573,,ball,,,,,13,Ball,R,L,R,KC,MIN,B,,,2,2,2026,-1.14,0.86,-0.0789963412301871,0.1046244182625517,,,,1,4,Bot,,,,,,,3.919225534317805,-126.68315305483992,-10.55312290532715,-13.065817610168107,26.092391250259816,-20.980007673976704,3.401673228,1.716732283,,,,88.2,1207,7.0,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.48,,,,,,,,31,6,Split-Finger,2,1,2,1,1,2,2,1,Infield shade,Standard,204,0.005,0.104,,,,-0.104,,1,1,0.662,0.662,25,23,26,23,2,1,,1.0,,,2.15,1.14,-1.14,52.0,,,,,
FS,2026-03-30,88.1,-0.94,6.36,"Caglianone, Jac",695506,680573,,ball,,,,,14,Ball,R,L,R,KC,MIN,B,,,1,2,2026,-1.35,0.98,0.1022704349008429,1.0394411589493189,,,,1,4,Bot,,,,,,,5.402796156435498,-128.0185752567949,-8.663926002587717,-15.942836938816695,27.31018363089216,-19.76895550158268,3.401673228,1.716732283,,,,88.8,1423,6.9,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.63,,,,,,,,31,5,Split-Finger,2,1,2,1,1,2,2,1,Infield shade,Standard,208,0.003,0.048,,,,-0.048,,1,1,0.659,0.659,25,23,26,23,2,1,,1.0,,,1.97,1.35,-1.35,48.2,,,,,
FF,2026-03-30,93.1,-0.98,6.34,"Caglianone, Jac",695506,680573,,foul,,,,,13,Foul,R,L,R,KC,MIN,S,,,1,2,2026,-0.65,1.51,-0.2700190803160109,1.542551709005755,,,,1,4,Bot,,,,,,,3.2798641401174744,-135.17126818187208,-9.655907896827184,-8.723201081298546,31.480594928218597,-11.698491988036174,3.401673228,1.716732283,176.0,70.1,35.0,93.5,2069,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.68,,,,,,,,31,4,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,197,0.0,0.0,75.9,8.4,,0.0,88.0,1,1,0.659,0.659,25,23,26,23,2,1,,1.0,,,1.14,0.65,-0.65,49.5,5.467281102384476,0.6397928200879611,34.58169112710759,41.1574270472532,24.146505471772397
FS,2026-03-30,87.4,-0.87,6.4,"Caglianone, Jac",695506,680573,,ball,,,,,13,Ball,R,L,R,KC,MIN,B,,,0,2,2026,-0.25,1.17,-0.2782798110033516,0.8123917739620434,,,,1,4,Bot,,,,,,,1.9594339479840224,-127.01376123817414,-9.542245316958883,-3.1225843576331505,26.97236834332949,-17.68233257898192,3.401673228,1.716732283,,,,88.0,1035,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.67,,,,,,,,31,3,Split-Finger,2,1,2,1,1,2,2,1,Infield shade,Standard,207,0.001,0.017,,,,-0.017,,1,1,0.658,0.658,25,23,26,23,2,1,,1.0,,,1.83,0.25,-0.25,51.1,,,,,
FF,2026-03-30,92.3,-0.93,6.35,"Caglianone, Jac",695506,680573,,called_strike,,,,,7,Called Strike,R,L,R,KC,MIN,S,,,0,1,2026,-0.18,1.55,-0.3148688277639252,1.651914175405497,,,,1,4,Bot,,,,,,,1.964770063968412,-134.1471187513248,-9.324888965537284,-2.586593177254547,30.377040329503835,-11.621764370262024,3.401673228,1.716732283,,,,92.8,2103,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.72,,,,,,,,31,2,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,196,-0.004,-0.052,,,,0.052,,1,1,0.662,0.662,25,23,26,23,2,1,,1.0,,,1.14,0.18,-0.18,47.9,,,,,
FF,2026-03-30,92.1,-0.98,6.36,"Caglianone, Jac",695506,680573,,called_strike,,,,,5,Called Strike,R,L,R,KC,MIN,S,,,0,0,2026,-0.41,1.39,0.2070795531531123,2.2962077455652734,,,,1,4,Bot,,,,,,,3.92841018993281,-133.90727650126848,-7.379218214946528,-5.810966627132522,28.21676918235841,-14.05157259422542,3.401673228,1.716732283,,,,93.0,2153,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.68,,,,,,,,31,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Infield shade,Standard,201,-0.002,-0.039,,,,0.039,,1,1,0.664,0.664,25,23,26,23,2,1,,1.0,,,1.3,0.41,-0.41,46.4,,,,,
SL,2026-03-30,86.2,-1.26,6.42,"Caglianone, Jac",695506,680573,field_out,hit_into_play,,,,,8,Jac Caglianone flies out to center fielder Byron Buxton.,R,L,R,KC,MIN,X,8.0,fly_ball,0,0,2026,0.47,0.53,0.225623547734209,1.7846652863591728,,,663697.0,0,2,Bot,132.46,89.99,,,,,2.518042867346976,-125.53425579552264,-5.641800843510454,4.433178065150786,25.858364667506574,-25.678267060585764,3.401673228,1.716732283,273.0,79.2,41.0,86.5,2306,6.5,824135,680777,605170,807712,668904,686797,668885,621439,670242,54.01,0.057,0.075,0.0,1.0,0.0,0.0,3.0,15,1,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,149,-0.038,-0.242,84.7,8.7,0.112,0.242,88.0,-1,-1,0.484,0.484,25,23,26,23,1,0,,1.0,,,2.54,-0.47,0.47,46.5,7.081985294000964,-4.001316130653634,36.03609640056968,37.47994884494156,30.68808325649241
ST,2026-03-30,80.6,2.47,5.53,"Caglianone, Jac",695506,681892,strikeout,swinging_strike,,,,,7,Jac Caglianone strikes out swinging.,R,L,L,KC,MIN,S,2.0,,0,2,2026,-1.06,-0.47,-0.8156370950490877,1.8173323511275048,,,,0,7,Bot,,,,,,,-5.182648387850296,-117.25823706396,-0.4142672869041733,-8.734105430524137,23.13132870590154,-36.595216159888,3.401673228,1.716732283,,,,81.1,2473,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.74,,0.0,0.0,1.0,0.0,0.0,,50,4,Sweeper,2,1,2,1,1,2,2,1,Infield shade,Standard,314,-0.011,-0.165,77.2,9.0,,0.165,,1,1,0.781,0.781,29,23,30,23,1,2,2.0,1.0,,,3.99,-1.06,-1.06,29.9,22.166519121151747,-33.137463202355,23.66667383106149,45.05289380002024,50.57344652796364
ST,2026-03-30,80.9,2.66,5.58,"Caglianone, Jac",695506,681892,,foul,,,,,4,Foul,R,L,L,KC,MIN,S,,,0,2,2026,-0.92,-0.11,-0.4609316759468328,2.514083174819111,,,,0,7,Bot,,,,,,,-5.1357671085104455,-117.7955690676727,0.1991615589399662,-7.639712352782227,21.276439308747594,-33.42074852681456,3.401673228,1.716732283,4.0,62.7,-33.0,81.8,2518,6.8,824135,680777,605170,807712,668904,686797,668885,621439,670242,53.73,,,,,,,,50,3,Sweeper,2,1,2,1,1,2,2,1,Infield shade,Standard,299,0.0,0.0,80.0,8.3,,0.0,88.0,1,1,0.781,0.781,29,23,30,23,1,2,2.0,1.0,,,3.57,-0.92,-0.92,29.0,18.58911462217187,-22.7779933111502,20.35960677442472,42.04472970347038,45.22446531967769
