pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-03-31,90.8,-2.41,5.69,"Ballesteros, Moisés",694208,667755,single,hit_into_play,,,,,7,Moisés Ballesteros singles on a line drive to left fielder Josh Lowe.,R,L,R,CHC,LAA,X,7.0,line_drive,0,0,2026,-0.68,-0.4,-0.5356539890986677,1.8345447932781127,,,,0,5,Bot,92.85,101.14,,,,,6.137898776560599,-132.18546810655184,-2.669708583323122,-9.28135293339,27.369147294122005,-36.48723393627924,3.040091864,1.534251969,203.0,75.9,20.0,91.3,1480,6.5,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.02,0.994,0.896,0.9,1.0,1.0,0.0,4.0,37,1,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,244,0.046,0.438,81.2,7.6,1.038,-0.438,88.0,0,0,0.567,0.567,27,22,28,23,2,1,,,,,3.15,0.68,-0.68,,12.281472753172222,0.7725917536597332,30.58771298227109,45.31450831384737,39.92051561848201
FF,2026-03-31,99.1,-2.23,5.66,"Ballesteros, Moisés",694208,667755,strikeout,swinging_strike,,,,,11,Moisés Ballesteros strikes out swinging.,R,L,R,CHC,LAA,S,2.0,,1,2,2026,-0.94,0.93,-0.4946035582391752,3.643458632485043,,,621020.0,1,2,Bot,,,,,,,6.979797474738841,-144.1223459900549,-2.0774639665395016,-14.844699140407538,36.41325093513552,-19.016060091008708,3.040091864,1.534251969,,,,99.4,2208,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.8,,0.0,0.0,1.0,0.0,0.0,,16,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,233,-0.021,-0.178,65.9,5.9,,0.178,,0,0,0.545,0.545,27,22,28,23,1,0,,,,,1.41,0.94,-0.94,,2.1793508528182226,37.34575184485068,21.70990809470133,45.52380113368909,7.899017033154713
KC,2026-03-31,86.1,-1.99,5.9,"Ballesteros, Moisés",694208,667755,,foul,,,,,8,Foul,R,L,R,CHC,LAA,S,,,1,2,2026,0.77,-0.57,0.1991043238037066,1.5102770577548157,,,621020.0,1,2,Bot,,,,,,,3.568724252557068,-125.42386372504772,-2.8238381285065133,7.533817335400289,23.93248758096228,-37.89774668236053,3.040091864,1.534251969,6.0,82.0,-16.0,87.1,2421,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.75,,,,,,,,16,5,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,27,0.0,0.0,75.3,8.1,,0.0,88.0,0,0,0.545,0.545,27,22,28,23,1,0,,,,,3.63,-0.77,0.77,,10.269548648565662,-6.375649948467042,37.647373433424455,39.55512010392569,42.57237499279455
SI,2026-03-31,97.9,-2.18,5.66,"Ballesteros, Moisés",694208,667755,,ball,,,,,14,Ball,R,L,R,CHC,LAA,B,,,0,2,2026,-1.18,-0.01,1.0115674494939206,1.6011166041245954,,,621020.0,1,2,Bot,,,,,,,11.34976823968334,-142.21620749672317,-5.328569093794433,-18.40519746557921,27.53088923775221,-31.344042929907687,3.040091864,1.534251969,,,,99.2,1988,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.74,,,,,,,,16,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,235,0.003,0.01,,,,-0.01,,0,0,0.542,0.542,27,22,28,23,1,0,,,,,2.36,1.18,-1.18,,,,,,
FS,2026-03-31,93.4,-2.29,5.74,"Ballesteros, Moisés",694208,667755,,foul,,,,,7,Foul,R,L,R,CHC,LAA,S,,,0,2,2026,-0.56,-0.26,-0.4617637388633806,1.6694099876565098,,,621020.0,1,2,Bot,,,,,,,5.937009291053005,-135.9278491964169,-3.928355771964645,-8.226441990766999,30.27298614707638,-34.67450659369474,3.040091864,1.534251969,2.0,68.1,-36.0,93.9,1436,6.6,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.86,,,,,,,,16,3,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,244,0.0,0.0,76.2,7.7,,0.0,88.0,0,0,0.542,0.542,27,22,28,23,1,0,,,,,2.87,0.56,-0.56,,14.185605924711025,9.763255144755137,30.447387566956863,44.68844705050509,28.15934663491065
FS,2026-03-31,91.8,-2.28,5.74,"Ballesteros, Moisés",694208,667755,,swinging_strike,,,,,13,Swinging Strike,R,L,R,CHC,LAA,S,,,0,1,2026,-0.98,-0.13,-0.7657505468248835,1.2983436964660813,,,621020.0,1,2,Bot,,,,,,,5.967812329776592,-133.4116280884454,-4.800692499085025,-13.040148305797224,31.54844604206978,-32.798677708619294,3.040091864,1.534251969,,,,91.9,1589,6.6,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.86,,,,,,,,16,2,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,238,-0.008,-0.047,77.2,8.5,,0.047,,0,0,0.55,0.55,27,22,28,23,1,0,,,,,2.86,0.98,-0.98,,16.950916276970073,-15.420576598145953,30.31150227468144,47.46699965635883,43.36108570477728
KC,2026-03-31,84.5,-1.98,5.95,"Ballesteros, Moisés",694208,667755,,called_strike,,,,,5,Called Strike,R,L,R,CHC,LAA,S,,,0,0,2026,1.17,-0.73,-0.1301002300822258,2.109601037600976,,,621020.0,1,2,Bot,,,,,,,1.888052168680684,-123.01202696799706,-0.8341216056885585,11.455994724860044,26.20846024482005,-39.55632325080259,3.040091864,1.534251969,,,,85.0,2331,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.73,,,,,,,,16,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,28,-0.004,-0.04,,,,0.04,,0,0,0.554,0.554,27,22,28,23,1,0,,,,,3.93,-1.17,1.17,,,,,,
FF,2026-03-31,96.1,-1.97,5.88,"Ballesteros, Moisés",694208,681217,walk,ball,,,,,12,Moisés Ballesteros walks. Nico Hoerner to 2nd.,R,L,R,CHC,LAA,B,,,3,1,2026,-0.84,1.24,0.1827679513648596,4.237390553466793,,,663538.0,2,7,Bot,,,,,,,7.508210325494388,-139.71229482100784,-1.3819929957099104,-12.83968670676665,35.69927788373965,-15.96084427122355,3.040091864,1.534251969,,,,94.9,2454,5.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.58,,0.709799,0.7,1.0,0.0,0.0,,57,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,215,0.023,0.147,,,,-0.147,,-2,-2,0.192,0.192,26,22,26,23,1,2,,,,,1.26,0.84,-0.84,,,,,,
FS,2026-03-31,87.5,-1.71,5.94,"Ballesteros, Moisés",694208,681217,,ball,,,,,14,Ball,R,L,R,CHC,LAA,B,,,2,1,2026,-1.02,-0.21,0.1571317990505047,0.7194368656180186,,,663538.0,2,7,Bot,,,,,,,6.518853866779801,-127.0716747004932,-5.565380598823232,-12.477475261925258,30.521905323453897,-33.35655128298318,3.040091864,1.534251969,,,,86.1,1124,5.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.6,,,,,,,,57,4,Split-Finger,0,2,0,2,2,0,0,2,Infield shade,Standard,242,0.012,0.079,,,,-0.079,,-2,-2,0.18,0.18,26,22,26,23,1,2,,,,,3.25,1.02,-1.02,,,,,,
FS,2026-03-31,88.2,-1.94,5.85,"Ballesteros, Moisés",694208,681217,,blocked_ball,,,,,13,Ball In Dirt,R,L,R,CHC,LAA,B,,,1,1,2026,-1.22,-0.08,-1.3714229374329423,0.6482425298948273,,,663538.0,2,7,Bot,,,,,,,3.895027622177049,-128.3631685524182,-6.050340936880463,-14.269317417950017,27.051521997472115,-32.01997703936125,3.040091864,1.534251969,,,,87.5,52,5.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.64,,,,,,,,57,3,Split-Finger,0,2,0,2,2,0,0,2,Infield shade,Standard,243,0.006,0.054,,,,-0.054,,-2,-2,0.174,0.174,26,22,26,23,1,2,,,,,3.02,1.22,-1.22,,,,,,
FF,2026-03-31,95.7,-1.91,5.83,"Ballesteros, Moisés",694208,681217,,called_strike,,,,,1,Called Strike,R,L,R,CHC,LAA,S,,,1,0,2026,-0.6,1.42,-0.6101479618007493,3.15515614943118,,,663538.0,2,7,Bot,,,,,,,4.716476152774887,-139.42083006526076,-4.58174977439954,-8.76485178647567,27.043737029625905,-12.701596378755957,3.040091864,1.534251969,,,,95.5,2486,5.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.67,,,,,,,,57,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,214,-0.006,-0.05,,,,0.05,,-2,-2,0.18,0.18,26,22,26,23,1,2,,,,,1.03,0.6,-0.6,,,,,,
FS,2026-03-31,86.3,-1.71,5.91,"Ballesteros, Moisés",694208,681217,,ball,,,,,14,Ball,R,L,R,CHC,LAA,B,,,0,0,2026,-0.57,0.23,0.4617701216881477,1.357758055502826,,,663538.0,2,7,Bot,,,,,,,6.23480595481264,-125.45433346110649,-4.743580774829911,-7.338604504704662,26.47505835691532,-28.9900650586234,3.040091864,1.534251969,,,,85.4,1080,5.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,54.63,,,,,,,,57,1,Split-Finger,0,2,0,2,2,0,0,2,Infield shade,Standard,243,0.004,0.035,,,,-0.035,,-2,-2,0.176,0.176,26,22,26,23,1,2,,,,,2.85,0.57,-0.57,,,,,,
FC,2026-03-30,90.1,-3.15,6.16,"Ballesteros, Moisés",694208,696270,single,hit_into_play,,,,,12,Moisés Ballesteros singles on a ground ball to right fielder Jo Adell. Pete Crow-Armstrong scores. Nico Hoerner scores.,R,L,R,CHC,LAA,X,9.0,ground_ball,0,0,2026,0.29,0.89,0.281879950739604,3.275377985382803,691718.0,663538.0,,2,3,Bot,184.48,118.56,,,,,7.774891607716506,-131.08118357549338,-2.9131812562926287,1.6932282703750292,27.141049031653974,-21.52500912158052,3.040091864,1.534251969,98.0,98.2,5.0,89.9,2536,6.2,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.34,0.554,0.526,0.9,1.0,1.0,0.0,4.0,26,1,Cutter,4,0,4,0,0,6,6,0,Standard,Standard,207,0.057,0.739,71.9,7.0,0.642,-0.739,98.2,4,4,0.897,0.897,23,22,24,23,2,1,,1.0,,,1.92,-0.29,0.29,21.6,8.911947064469722,-4.523237947448733,26.159413567149446,36.45229980405274,33.91290975611484
