pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2026-03-31,76.0,-0.7,6.45,"Harris II, Michael",671739,650644,strikeout,swinging_strike,,,,,13,Michael Harris II strikes out swinging.,R,L,R,ATL,ATH,S,2.0,,2,2,2026,0.88,-1.14,-0.2241133627079423,1.39648776816359,,,,0,5,Bot,,,,,,,-0.619072309007731,-110.80635026337592,-1.2304701367494535,7.383255932959262,19.25309133021253,-41.55581853443053,3.181389436,1.605561024,,,,75.2,3023,5.5,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.98,,0.0,0.0,1.0,0.0,0.0,,39,5,Curveball,1,5,1,5,5,1,1,5,Infield shade,Standard,43,-0.017,-0.232,70.8,9.6,,0.232,,-4,-4,0.119,0.119,31,25,31,25,2,1,,,,,5.06,-0.88,0.88,,23.59539060327273,-39.64187482652293,31.188853835965944,40.39505330640581,57.18791958854586
FC,2026-03-31,86.9,-0.9,6.21,"Harris II, Michael",671739,650644,,foul_tip,,,,,12,Foul Tip,R,L,R,ATL,ATH,S,,,2,1,2026,0.5,0.77,0.7003372914811501,3.5633369561197634,,,,0,5,Bot,,,,,,,2.7130604352974914,-126.79979203972418,-1.7207548504881482,5.043764166864369,20.584566042269685,-23.66409853930496,3.181389436,1.605561024,,,,86.9,2512,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.83,,,,,,,,39,4,Cutter,1,5,1,5,5,1,1,5,Standard,Standard,178,-0.007,-0.073,74.3,7.3,,0.073,,-4,-4,0.126,0.126,31,25,31,25,2,1,,,,,2.19,-0.5,0.5,,8.145833166459969,5.668951113662994,24.52980820068274,28.752638793351483,26.25582578379379
FC,2026-03-31,85.8,-0.99,6.16,"Harris II, Michael",671739,650644,,foul_tip,,,,,11,Foul Tip,R,L,R,ATL,ATH,S,,,2,0,2026,0.4,0.81,-0.9691773700360348,3.234502682249865,,,,0,5,Bot,,,,,,,-0.7764218549091287,-125.2172937803803,-2.276530598527614,4.4184319026006325,20.483940305287717,-23.28024363905956,3.181389436,1.605561024,,,,86.0,2562,5.8,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.66,,,,,,,,39,3,Cutter,1,5,1,5,5,1,1,5,Standard,Standard,177,-0.006,-0.072,72.3,7.2,,0.072,,-4,-4,0.132,0.132,31,25,31,25,2,1,,,,,2.22,-0.4,0.4,,-0.9269287902946668,30.05922935237035,25.105070318342097,48.22258207306034,11.139334335862124
FS,2026-03-31,82.7,-1.06,6.05,"Harris II, Michael",671739,650644,,ball,,,,,14,Ball,R,L,R,ATL,ATH,B,,,1,0,2026,-0.7,0.82,0.3514164613942401,0.6782335088018372,,,,0,5,Bot,,,,,,,4.485220741046316,-120.35263294515303,-7.045836624091977,-7.614511304330432,21.910324094219565,-23.092557712440872,3.181389436,1.605561024,,,,81.9,1783,5.6,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.92,,,,,,,,39,2,Split-Finger,1,5,1,5,5,1,1,5,Standard,Standard,226,0.006,0.077,,,,-0.077,,-4,-4,0.126,0.126,31,25,31,25,2,1,,,,,2.5,0.7,-0.7,,,,,,
FS,2026-03-31,82.6,-1.22,6.11,"Harris II, Michael",671739,650644,,ball,,,,,11,Ball,R,L,R,ATL,ATH,B,,,0,0,2026,-0.71,0.59,-2.1633875765358868,4.264574686992045,,,,0,5,Bot,,,,,,,-0.7015250927396502,-120.4496475105682,1.1816271084756007,-6.830968124346677,21.29385425767904,-26.78056206564673,3.181389436,1.605561024,,,,81.7,1506,5.4,824942,669127,701762,628451,691777,805779,691016,672016,671732,55.12,,,,,,,,39,1,Split-Finger,1,5,1,5,5,1,1,5,Infield shade,Standard,227,0.004,0.041,,,,-0.041,,-4,-4,0.122,0.122,31,25,31,25,2,1,,,,,2.71,0.71,-0.71,,,,,,
FC,2026-03-31,88.0,-0.75,6.25,"Harris II, Michael",671739,650644,field_out,hit_into_play,,,,,6,Michael Harris II grounds out to first baseman Nick Kurtz.,R,L,R,ATL,ATH,X,3.0,ground_ball,2,2,2026,0.6,0.66,0.669799645340804,2.636534284609845,,,,1,2,Bot,170.18,156.06,,,,,2.1175956686855777,-128.18451012532023,-3.8800017580213098,6.294713124435328,23.69814855829382,-24.334484421213844,3.181389436,1.605561024,11.0,92.6,-14.0,87.5,2724,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.81,0.123,0.129,0.0,1.0,0.0,0.0,2.0,18,5,Cutter,1,3,1,3,3,1,1,3,Infield shade,Standard,175,-0.015,-0.228,75.8,8.0,0.152,0.228,92.6,-2,-2,0.314,0.314,31,25,31,25,1,0,,,,,2.25,-0.6,0.6,,15.279428981634425,-6.060946418701354,29.1627078931815,29.17664319667615,34.317557649980635
SI,2026-03-31,92.7,-0.96,6.07,"Harris II, Michael",671739,650644,,ball,,,,,12,Ball,R,L,R,ATL,ATH,B,,,1,2,2026,-1.14,0.97,0.2781340808942441,4.779331775150918,,,,1,2,Bot,,,,,,,5.565629702763268,-135.00252903278553,0.4217130777704327,-15.112720108886377,27.557610382645727,-20.567550710745127,3.181389436,1.605561024,,,,91.6,2278,5.5,824942,669127,701762,628451,691777,805779,691016,672016,671732,55.03,,,,,,,,18,4,Sinker,1,3,1,3,3,1,1,3,Infield shade,Standard,213,0.002,0.048,,,,-0.048,,-2,-2,0.312,0.312,31,25,31,25,1,0,,,,,1.67,1.14,-1.14,,,,,,
CU,2026-03-31,77.4,-0.65,6.35,"Harris II, Michael",671739,650644,,swinging_strike,,,,,14,Swinging Strike,R,L,R,ATL,ATH,S,,,1,1,2026,0.91,-1.21,0.041993405966221,0.632513902070837,,,,1,2,Bot,,,,,,,-0.2369383712300991,-112.74799042288,-2.6906333379023355,7.80449544216843,21.67510417554077,-42.16332463134866,3.181389436,1.605561024,,,,76.4,3119,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.84,,,,,,,,18,3,Curveball,1,3,1,3,3,1,1,3,Infield shade,Standard,49,-0.004,-0.064,77.2,9.6,,0.064,,-2,-2,0.316,0.316,31,25,31,25,1,0,,,,,5.02,-0.91,0.91,,22.34875772777617,-28.32799360169769,37.453593502901136,38.20325807167411,51.77003942487813
SL,2026-03-31,86.0,2.28,6.13,"Harris II, Michael",671739,663687,field_out,hit_into_play,,,,,4,Michael Harris II pops out to shortstop Jacob Wilson.,R,L,L,ATL,ATH,X,6.0,popup,1,1,2026,-0.26,1.13,-0.298367428035196,2.194841668024601,,663586.0,573262.0,2,6,Bot,110.68,116.21,,,,,-5.497677087370131,-125.03668199863952,-5.172139990013756,-1.610123417555016,25.76116945246647,-19.516795887002036,3.181389436,1.605561024,212.0,87.4,57.0,86.2,2149,6.5,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.0,0.011,0.01,0.0,1.0,0.0,0.0,3.0,51,3,Slider,2,5,2,5,5,2,2,5,Infield shade,Standard,192,-0.049,-0.253,76.3,9.0,0.013,0.253,88.0,-3,-3,0.156,0.156,29,25,30,25,1,2,,,,,1.97,-0.26,-0.26,,19.380396458061707,-20.24035819814312,33.689974932365566,39.24809866601477,40.29299622041292
FC,2026-03-31,87.9,-0.93,6.22,"Harris II, Michael",671739,650644,,foul,,,,,4,Foul,R,L,R,ATL,ATH,S,,,1,0,2026,0.27,0.58,-0.6458763243717778,2.133825342400513,,,,1,2,Bot,,,,,,,0.1112267755952986,-128.0628540545669,-4.822181662040174,2.9922353672969515,22.758229244598876,-25.07650374708296,3.181389436,1.605561024,204.0,70.9,28.0,87.5,2564,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.81,,,,,,,,18,2,Cutter,1,3,1,3,3,1,1,3,Infield shade,Standard,177,-0.004,-0.049,73.9,7.9,,0.049,88.0,-2,-2,0.32,0.32,31,25,31,25,1,0,,,,,2.33,-0.27,0.27,,-6.668390714628932,14.886790846900375,33.47739397243606,45.18617987680838,18.251487974504126
