pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-03-31,91.7,-0.42,6.09,"Acuña Jr., Ronald",660670,650644,sac_fly,hit_into_play,,,,,14,Ronald Acuña Jr. out on a sacrifice fly to right fielder Lawrence Butler. Dominic Smith scores. Mauricio Dubón to 3rd.,R,R,R,ATL,ATH,X,9.0,line_drive,1,2,2026,-1.22,0.9,1.0292189848574105,2.103452092507,642086.0,643289.0,,1,5,Bot,204.14,103.06,,,,,6.20260330245395,-133.43399634378068,-5.963266012907849,-15.87018978348948,26.457869904394347,-20.2947745906266,3.200697179,1.615305118,305.0,100.6,19.0,90.9,2263,5.6,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.85,0.389,0.468,0.0,1.0,0.0,0.0,5.0,42,4,Sinker,1,5,1,5,5,2,2,5,Standard,Standard,215,-0.004,-0.065,70.0,7.5,0.729,0.065,100.6,-4,-4,0.178,0.178,31,28,31,29,3,2,,,,,1.79,1.22,1.22,,4.116374458403339,21.482724143213417,34.21290877015065,45.15034517997364,22.250202393999416
CU,2026-03-31,79.0,-0.06,6.34,"Acuña Jr., Ronald",660670,650644,,ball,,,,,14,Ball,R,R,R,ATL,ATH,B,,,0,2,2026,0.66,-1.15,1.5527626900075724,-1.249906546527458,,642086.0,643289.0,1,5,Bot,,,,,,,2.192776085519142,-114.95986853077144,-7.095119185580652,5.398872900434244,23.02982632791828,-41.10756214375648,3.200697179,1.615305118,,,,78.0,3049,5.8,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.72,,,,,,,,42,3,Curveball,1,5,1,5,5,1,1,5,Standard,Standard,46,0.033,0.014,,,,-0.014,,-4,-4,0.145,0.145,31,28,31,29,3,2,,,,,4.83,-0.66,-0.66,,,,,,
SI,2026-03-31,90.6,-0.34,6.16,"Acuña Jr., Ronald",660670,650644,,foul,,,,,6,Foul,R,R,R,ATL,ATH,S,,,0,1,2026,-1.07,1.06,0.3199080460114563,2.300016332543035,,642086.0,643289.0,1,5,Bot,,,,,,,3.905622141942727,-131.93493294246048,-5.762228566475279,-13.34058876073413,25.932777796730004,-18.815544188150103,3.200697179,1.615305118,257.0,85.6,50.0,89.9,2335,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.83,,,,,,,,42,2,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,209,-0.011,-0.053,76.5,7.7,,0.053,88.0,-4,-4,0.156,0.156,31,28,31,29,3,2,,,,,1.7,1.07,1.07,,10.240864771472618,10.958680371537278,37.73414155602973,38.04675468310932,26.525907733515368
FC,2026-03-31,86.4,-0.31,6.27,"Acuña Jr., Ronald",660670,650644,,called_strike,,,,,12,Called Strike,R,R,R,ATL,ATH,S,,,0,0,2026,0.53,0.74,1.0783653091820322,2.642391274692547,,642086.0,643289.0,1,5,Bot,,,,,,,2.160737038165783,-125.9036639407812,-3.8158870926537256,5.317984215886343,21.768699813641707,-23.74252554260514,3.200697179,1.615305118,,,,86.1,2614,5.7,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.83,,,,,,,,42,1,Cutter,1,5,1,5,5,1,1,5,Standard,Standard,179,-0.007,-0.033,,,,0.033,,-4,-4,0.163,0.163,31,28,31,29,3,2,,,,,2.27,-0.53,-0.53,,,,,,
FC,2026-03-31,87.5,-0.43,6.23,"Acuña Jr., Ronald",660670,650644,strikeout,swinging_strike,,,,,11,Ronald Acuña Jr. strikes out swinging.,R,R,R,ATL,ATH,S,2.0,,3,2,2026,0.64,0.63,-0.4227344775204168,3.520813462732935,,,,1,3,Bot,,,,,,,-1.3077801754867149,-127.64421185730224,-1.6464177920299858,7.288781625076482,22.3855561616379,-25.067598036374605,3.200697179,1.615305118,,,,87.2,2709,5.6,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.85,,0.0,0.0,1.0,0.0,0.0,,24,6,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,161,-0.023,-0.332,68.1,5.9,,0.332,,-2,-2,0.305,0.305,31,28,31,29,2,1,,,,,2.29,-0.64,-0.64,,0.6050809823640428,22.83491173724807,32.85500723827955,26.616761916646126,24.683314969392747
CU,2026-03-31,76.9,-0.08,6.41,"Acuña Jr., Ronald",660670,650644,,ball,,,,,14,Ball,R,R,R,ATL,ATH,B,,,2,2,2026,1.06,-1.4,1.217673440621318,0.351624156918791,,,,1,3,Bot,,,,,,,0.760544855971204,-111.88785578526264,-2.841474020960102,8.608088973224312,23.56824707230076,-43.45641835164312,3.200697179,1.615305118,,,,75.7,3201,5.8,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.71,,,,,,,,24,5,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,39,0.007,0.104,,,,-0.104,,-2,-2,0.298,0.298,31,28,31,29,2,1,,,,,5.31,-1.06,-1.06,,,,,,
FC,2026-03-31,88.0,-0.44,6.28,"Acuña Jr., Ronald",660670,650644,,ball,,,,,11,Ball,R,R,R,ATL,ATH,B,,,1,2,2026,0.53,0.9,-1.0151870869371178,4.728522726272672,,,,1,3,Bot,,,,,,,-2.4352575070503364,-128.23816529269203,0.4786257481532825,6.290203381085873,23.29790775127889,-22.386777377449025,3.200697179,1.615305118,,,,87.2,2710,5.4,824942,669127,701762,628451,691777,805779,691016,672016,671732,55.06,,,,,,,,24,4,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,172,0.003,0.048,,,,-0.048,,-2,-2,0.295,0.295,31,28,31,29,2,1,,,,,2.0,-0.53,-0.53,,,,,,
SL,2026-03-31,83.3,-0.38,6.21,"Acuña Jr., Ronald",660670,650644,,swinging_strike,,,,,6,Swinging Strike,R,R,R,ATL,ATH,S,,,1,1,2026,0.65,-0.23,0.470425636798319,2.387816226017603,,,,1,3,Bot,,,,,,,0.6352719579084527,-121.40760843930308,-1.685534887512984,6.282985754731591,22.84265551375861,-34.33196286726073,3.200697179,1.615305118,,,,82.2,2825,5.4,824942,669127,701762,628451,691777,805779,691016,672016,671732,55.11,,,,,,,,24,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,97,-0.005,-0.064,79.6,7.4,,0.064,,-2,-2,0.3,0.3,31,28,31,29,2,1,,,,,3.49,-0.65,-0.65,,3.4753353243512883,17.071472654639134,36.956835397385866,38.59720622674102,24.90573609830037
SI,2026-03-31,91.6,-0.52,6.07,"Acuña Jr., Ronald",660670,650644,,ball,,,,,12,Ball,R,R,R,ATL,ATH,B,,,0,1,2026,-1.2,0.89,0.2625731188261344,3.616559245759629,,,,1,3,Bot,,,,,,,4.502240742322795,-133.33455030877388,-2.0650761159948003,-15.320036199870534,28.82581799918988,-21.361956160582675,3.200697179,1.615305118,,,,90.2,2310,5.4,824942,669127,701762,628451,691777,805779,691016,672016,671732,55.05,,,,,,,,24,2,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,214,0.002,0.029,,,,-0.029,,-2,-2,0.298,0.298,31,28,31,29,2,1,,,,,1.83,1.2,1.2,,,,,,
FC,2026-03-31,87.2,-0.43,6.22,"Acuña Jr., Ronald",660670,650644,,called_strike,,,,,12,Called Strike,R,R,R,ATL,ATH,S,,,0,0,2026,0.68,0.69,0.5921643952955838,3.4623782506252665,,,,1,3,Bot,,,,,,,0.9986344487793232,-127.16479157510118,-1.799305866473365,7.252304974310581,23.793189214848848,-24.46698939904884,3.200697179,1.615305118,,,,86.5,2651,5.5,824942,669127,701762,628451,691777,805779,691016,672016,671732,54.97,,,,,,,,24,1,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,176,-0.003,-0.039,,,,0.039,,-2,-2,0.301,0.301,31,28,31,29,2,1,,,,,2.27,-0.68,-0.68,,,,,,
