pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-31,98.8,-2.16,5.63,"Swanson, Dansby",621020,667755,strikeout,called_strike,,,,,9.0,Dansby Swanson called out on strikes.,R,R,R,CHC,LAA,S,2.0,,2,2,2026,-0.86,1.01,0.7348970535541423,1.988235473283916,,664023.0,,2,4,Bot,,,,,,,9.85468649561237,-143.41824398962876,-6.642573260649051,-14.147893515543451,34.714514937693906,-16.771527348463955,3.218249672,1.624163386,,,,99.1,2273.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.83,,0.0,0.0,1.0,0.0,0.0,,30,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,231.0,-0.036,-0.22,,,,0.22,,0,0,0.536,0.536,27,32,28,32,2,1,,,,,1.34,0.86,0.86,,,,,,
FS,2026-03-31,91.5,-2.08,5.55,"Swanson, Dansby",621020,667755,,ball,,,,,13.0,Ball,R,R,R,CHC,LAA,B,,,1,2,2026,-0.85,-0.42,-0.7479458247349252,1.3894191930260789,,664023.0,,2,4,Bot,,,,,,,5.225341445157138,-133.18781645473217,-3.451333390772093,-11.217174235099924,29.79669511946812,-36.649815623791255,3.218249672,1.624163386,,,,92.3,1128.0,6.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.63,,,,,,,,30,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,256.0,0.007,0.012,,,,-0.012,,0,0,0.529,0.529,27,32,28,32,2,1,,,,,3.15,0.85,0.85,,,,,,
KC,2026-03-31,87.4,-1.79,5.89,"Swanson, Dansby",621020,667755,,ball,,,,,8.0,Ball,R,R,R,CHC,LAA,B,,,0,2,2026,1.32,-0.96,-0.2616308805232241,1.545526652938657,,664023.0,,2,4,Bot,,,,,,,0.8485973869084269,-127.27383858427169,-1.988513622897368,14.023259109345046,30.07067779004284,-42.24621517501589,3.218249672,1.624163386,,,,87.7,2486.0,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.73,,,,,,,,30,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,40.0,0.004,0.015,,,,-0.015,,0,0,0.525,0.525,27,32,28,32,2,1,,,,,3.97,-1.32,-1.32,,,,,,
KC,2026-03-31,85.7,-1.79,5.89,"Swanson, Dansby",621020,667755,,swinging_strike,,,,,14.0,Swinging Strike,R,R,R,CHC,LAA,S,,,0,1,2026,0.8,-0.69,1.8198245068924557,0.7638489157637105,,664023.0,,2,4,Bot,,,,,,,6.813633092390298,-124.43577310478489,-4.015567773286595,6.496742089933532,30.56125208194344,-38.44332148842881,3.218249672,1.624163386,,,,85.6,2467.0,6.9,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.65,,,,,,,,30,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,29.0,-0.011,-0.056,39.9,7.9,,0.056,,0,0,0.536,0.536,27,32,28,32,2,1,,,,,3.86,-0.8,-0.8,,16.523197064250187,-6.472759312345506,35.800379107297246,56.34283359425735,38.37811477690065
SL,2026-03-31,90.7,-1.97,5.69,"Swanson, Dansby",621020,667755,,called_strike,,,,,6.0,Called Strike,R,R,R,CHC,LAA,S,,,0,0,2026,0.18,0.25,0.3036903273464861,2.679585385175804,,664023.0,,2,4,Bot,,,,,,,5.272630874222684,-131.99948851631635,-1.9381781164367675,0.9108759021367598,29.59603015451532,-29.053306261211617,3.218249672,1.624163386,,,,91.3,2312.0,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.71,,,,,,,,30,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,146.0,-0.006,-0.04,,,,0.04,,0,0,0.542,0.542,27,32,28,32,2,1,,,,,2.53,-0.18,-0.18,,,,,,
SI,2026-03-31,96.9,-2.22,5.62,"Swanson, Dansby",621020,667755,field_error,hit_into_play,,,,,8.0,Dansby Swanson reaches on a throwing error by third baseman Jeimer Candelario.,R,R,R,CHC,LAA,X,5.0,ground_ball,3,2,2026,-1.19,0.21,-0.2563900268782022,1.686647707874133,,,,1,2,Bot,104.1,165.78,,,,,7.997146002884762,-140.82926070568888,-5.24228908191693,-17.667345714399378,31.250905792146217,-28.32330316502049,3.218249672,1.624163386,4.0,95.5,-25.0,97.5,1865.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.85,0.111,0.117,0.9,1.0,0.0,0.0,2.0,15,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,230.0,0.022,0.384,70.3,7.6,0.131,-0.384,95.5,0,0,0.532,0.532,27,32,28,32,1,0,,,,,2.21,1.19,1.19,,14.311571706920002,2.874396823526077,38.79872904564832,33.35247789974403,31.071443975763508
SI,2026-03-31,96.8,-2.14,5.72,"Swanson, Dansby",621020,667755,,foul,,,,,14.0,Foul,R,R,R,CHC,LAA,S,,,3,1,2026,-1.19,0.27,0.034781103704512,1.484418219961141,,,,1,2,Bot,,,,,,,8.553249695723569,-140.67832015384403,-6.144428485127346,-17.779356115243512,32.78430814231843,-27.327827305043183,3.218249672,1.624163386,,,,97.4,2022.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.76,,,,,,,,15,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228.0,-0.006,-0.087,69.4,8.2,,0.087,,0,0,0.538,0.538,27,32,28,32,1,0,,,,,2.17,1.19,1.19,,24.782769744595683,-6.10172447872435,37.75672422009666,36.5598502102706,32.739276428370005
KC,2026-03-31,84.4,-1.84,5.88,"Swanson, Dansby",621020,667755,,ball,,,,,14.0,Ball,R,R,R,CHC,LAA,B,,,2,1,2026,1.07,-0.46,0.842051666803988,1.1505568958496584,,,,1,2,Bot,,,,,,,4.018047732098283,-122.8115087136786,-3.4078756224164968,9.87795835600816,26.589751853373517,-36.24465305340399,3.218249672,1.624163386,,,,84.8,2233.0,6.8,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.73,,,,,,,,15,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,32.0,0.007,0.121,,,,-0.121,,0,0,0.531,0.531,27,32,28,32,1,0,,,,,3.68,-1.07,-1.07,,,,,,
FF,2026-03-31,97.9,-2.16,5.7,"Swanson, Dansby",621020,667755,,called_strike,,,,,14.0,Called Strike,R,R,R,CHC,LAA,S,,,2,0,2026,-0.9,1.28,0.8813348624546887,1.7562705886674943,,,,1,2,Bot,,,,,,,10.27419705367064,-142.04191200785493,-7.981643104424737,-14.545927655622595,31.602725614644125,-13.076946471210508,3.218249672,1.624163386,,,,98.5,2240.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.77,,,,,,,,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,233.0,-0.005,-0.066,,,,0.066,,0,0,0.536,0.536,27,32,28,32,1,0,,,,,1.1,0.9,0.9,,,,,,
KC,2026-03-31,84.5,-1.93,6.0,"Swanson, Dansby",621020,667755,,ball,,,,,14.0,Ball,R,R,R,CHC,LAA,B,,,1,0,2026,1.07,-0.68,0.5345573513878404,1.1317640324430245,,,,1,2,Bot,,,,,,,3.530752631691218,-123.15377565194784,-3.425569911571188,10.306819788619388,22.610086063057597,-38.721427876928885,3.218249672,1.624163386,,,,85.5,2265.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.81,,,,,,,,15,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,41.0,0.005,0.071,,,,-0.071,,0,0,0.531,0.531,27,32,28,32,1,0,,,,,3.84,-1.07,-1.07,,,,,,
