pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-28,93.1,1.84,6.59,"Lee, Dylan",686555,669276,strikeout,foul_tip,,,,,11,Isaac Collins strikes out on a foul tip.,R,R,L,ATL,KC,S,2.0,,3,2,2026,0.45,1.8,-0.1134631184084823,3.6146585970043215,,686475.0,,2,7,Top,,,,,,,-5.957456734728005,-135.420128073518,-5.6701950716646765,6.873360720639443,30.545155322794496,-9.001233137585439,3.012885499,1.520521654,,,,92.9,2375,6.3,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.24,,0.0,0.0,1.0,0.0,0.0,,46,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,150,0.041,-0.277,70.0,6.0,,0.277,,-1,1,0.323,0.677,31,28,32,29,1,2,1.0,1.0,,2.0,0.84,0.45,-0.45,47.7,1.6687652179105446,8.681895190337265,17.17586814611839,34.52623446516854,28.52333785480351
FF,2026-03-28,92.1,1.72,6.58,"Lee, Dylan",686555,669276,,called_strike,,,,,1,Called Strike,R,R,L,ATL,KC,S,,,3,1,2026,0.64,1.75,-0.7502340220103414,2.952870721525653,,686475.0,,2,7,Top,,,,,,,-7.61846804791863,-133.8189457751733,-7.02109796880182,9.338026504582109,29.201878983755982,-9.74757713462396,3.012885499,1.520521654,,,,92.2,2403,6.4,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.06,,,,,,,,46,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,157,0.003,-0.063,,,,0.063,,-1,1,0.32,0.6799999999999999,31,28,32,29,1,2,1.0,1.0,,2.0,0.94,0.64,-0.64,56.9,,,,,
CH,2026-03-28,84.5,2.02,6.42,"Lee, Dylan",686555,669276,,ball,,,,,14,Ball,R,R,L,ATL,KC,B,,,2,1,2026,1.05,0.89,0.8540949455912712,1.9921445600164047,,686475.0,,2,7,Top,,,,,,,-4.819362789605105,-122.88019935791132,-5.540511541780004,11.53992752389954,23.276523968499337,-22.27371279649397,3.012885499,1.520521654,,,,85.0,1578,6.5,824945,686948,621566,645277,663586,643289,573262,671739,660670,53.98,,,,,,,,46,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,140,-0.003,0.055,,,,-0.055,,-1,1,0.323,0.677,31,28,32,29,1,2,1.0,1.0,,2.0,2.3,1.05,-1.05,44.4,,,,,
FF,2026-03-28,91.9,1.74,6.55,"Lee, Dylan",686555,669276,,foul,,,,,1,Foul,R,R,L,ATL,KC,S,,,2,0,2026,0.54,1.79,-0.369390127061046,2.976364107297891,,686475.0,,2,7,Top,,,,,,,-6.460440880241083,-133.5630326615997,-6.926533007476233,7.822522061845729,28.683043971768797,-9.384356912629318,3.012885499,1.520521654,95.0,60.1,75.0,91.9,2393,6.4,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.13,,,,,,,,46,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,153,0.002,-0.051,71.7,6.4,,0.051,88.0,-1,1,0.321,0.679,31,28,32,29,1,2,1.0,1.0,,2.0,0.91,0.54,-0.54,49.7,0.8267146160574326,1.0814738541963655,27.329651280191467,32.56150899354866,31.306812935672298
CH,2026-03-28,83.6,1.98,6.46,"Lee, Dylan",686555,669276,,ball,,,,,14,Ball,R,R,L,ATL,KC,B,,,1,0,2026,0.93,1.11,0.5205023551932411,0.8457774562024434,,686475.0,,2,7,Top,,,,,,,-5.182024738821933,-121.40180189839458,-8.454991979970373,10.180225600251338,23.11799092397435,-19.691348852778923,3.012885499,1.520521654,,,,83.7,1550,6.4,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.08,,,,,,,,46,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,135,-0.002,0.028,,,,-0.028,,-1,1,0.323,0.677,31,28,32,29,1,2,1.0,1.0,,2.0,2.15,0.93,-0.93,44.6,,,,,
FF,2026-03-28,90.1,1.71,6.61,"Lee, Dylan",686555,669276,,ball,,,,,11,Ball,R,R,L,ATL,KC,B,,,0,0,2026,0.58,1.73,-1.171484522360887,3.5125547917890683,,686475.0,,2,7,Top,,,,,,,-8.312816745418038,-130.93235006930064,-5.25506793989499,8.442430045998742,27.84751156414453,-11.304012249111244,3.012885499,1.520521654,,,,90.1,2395,6.4,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.12,,,,,,,,46,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,157,-0.001,0.019,,,,-0.019,,-1,1,0.324,0.6759999999999999,31,28,32,29,1,2,1.0,1.0,,2.0,1.08,0.58,-0.58,49.2,,,,,
SL,2026-03-28,83.3,1.85,6.45,"Lee, Dylan",695506,669276,double,hit_into_play,,,,,4,Jac Caglianone doubles (1) on a sharp line drive to right fielder Ronald Acuña Jr.,R,L,L,ATL,KC,X,9.0,line_drive,1,1,2026,-0.1,0.33,-0.335806597148961,2.2571407372653525,,,,2,7,Top,202.8,110.48,,,,,-4.764094321245303,-121.26443549379884,-3.6616584491802047,-0.1184909965453559,21.67519243576612,-28.397041837650097,3.401673228,1.716732283,177.0,106.2,10.0,83.6,2020,6.3,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.24,0.883,0.867,1.25,1.0,1.0,1.0,4.0,45,3,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,150,-0.028,0.595,82.9,8.6,1.119,-0.595,106.2,-1,1,0.352,0.648,31,23,32,23,1,2,1.0,1.0,,1.0,2.93,-0.1,-0.1,45.7,17.458891296369536,-11.908790716943528,31.39899822253859,42.19488858130027,38.84290976440833
SL,2026-03-28,82.6,1.87,6.55,"Lee, Dylan",695506,669276,,ball,,,,,11,Ball,R,L,L,ATL,KC,B,,,0,1,2026,-0.19,0.48,-1.2355061815864767,3.316219896282264,,,,2,7,Top,,,,,,,-6.598786775721824,-120.1683095744462,-1.6410307356045073,-0.6868628361782556,21.50314880538627,-27.379392891329463,3.401673228,1.716732283,,,,82.8,2024,6.3,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.24,,,,,,,,45,2,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,159,-0.001,0.027,,,,-0.027,,-1,1,0.353,0.647,31,23,32,23,1,2,1.0,1.0,,1.0,2.84,-0.19,-0.19,48.5,,,,,
SL,2026-03-28,82.4,1.92,6.59,"Lee, Dylan",695506,669276,,foul,,,,,5,Foul,R,L,L,ATL,KC,S,,,0,0,2026,-0.05,0.42,-0.108367354462257,2.402243675871478,,,,2,7,Top,,,,,,,-4.445865034207786,-119.92843359672288,-3.6230012267774585,0.3608209548792542,21.72666277608326,-27.676592997240856,3.401673228,1.716732283,6.0,36.6,-23.0,82.5,2072,6.2,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.32,,,,,,,,45,1,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,166,0.002,-0.043,74.0,9.1,,0.043,88.0,-1,1,0.351,0.649,31,23,32,23,1,2,1.0,1.0,,1.0,2.92,-0.05,-0.05,46.1,24.173377821808405,-33.98909823426169,26.514252144243915,38.3580052315174,52.68396807528547
SL,2026-03-28,81.9,1.91,6.62,"Lee, Dylan",663697,669276,strikeout,swinging_strike,,,,,4,Jonathan India strikes out swinging.,R,R,L,ATL,KC,S,2.0,,2,2,2026,-0.29,0.13,-0.4625137454517065,2.294940982049371,,,,1,7,Top,,,,,,,-4.711282223601984,-119.2240829925926,-3.2243173380304224,-1.8855309861313985,22.801024781604628,-30.50127332132666,3.138385827,1.583858268,,,,81.8,2152,6.2,824945,686948,621566,645277,663586,643289,573262,671739,660670,54.31,,0.0,0.0,1.0,0.0,0.0,,44,5,Slider,0,1,1,0,1,0,1,0,Standard,Standard,53,0.016,-0.228,73.4,7.3,,0.228,,-1,1,0.335,0.665,31,29,32,30,1,2,1.0,1.0,,2.0,3.26,-0.29,0.29,51.8,13.812556237442656,-15.09330660715988,29.80508565625275,29.041488525742523,36.0280591950114
