pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-27,97.2,1.93,5.84,"Kikuchi, Yusei",514888,579328,single,hit_into_play,,,,,9,Jose Altuve singles on a ground ball to shortstop Zach Neto.,R,R,L,HOU,LAA,X,6.0,ground_ball,0,2,2026,0.68,1.33,0.7180040263006698,1.6510870205734305,,,,1,5,Bot,112.28,169.92,,,,,-4.84065230507837,-141.25417066058336,-8.609097274671623,10.169615036924592,32.95920412669849,-12.613700408279778,2.926000656,1.476673228,1.0,77.8,-54.0,98.1,2288,6.9,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.59,0.263,0.257,0.9,1.0,1.0,0.0,2.0,45,4,4-Seam Fastball,2,5,2,5,5,2,2,5,Infield shade,Standard,145,0.037,0.506,67.5,7.6,0.278,-0.506,88.0,-3,-3,0.158,0.158,35,36,35,36,3,2,,1.0,,1,1.1,0.68,-0.68,48.9,3.602495209541104,17.242591765536815,26.386136996168982,50.14581980081061,12.76560838068676
FC,2026-03-27,92.7,2.28,5.67,"Kikuchi, Yusei",514888,579328,,foul,,,,,8,Foul,R,R,L,HOU,LAA,S,,,0,2,2026,-0.09,0.65,0.2325321637583708,1.7823574650511986,,,,1,5,Bot,,,,,,,-5.027819749330219,-134.84854757893916,-5.4351141772198215,-0.040791201852023,29.403126445167988,-23.20655579822255,2.926000656,1.476673228,282.0,85.0,31.0,94.0,2356,7.1,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.44,,,,,,,,45,3,Cutter,2,5,2,5,5,2,2,5,Infield shade,Standard,151,0.0,0.0,67.6,7.2,,0.0,88.0,-3,-3,0.158,0.158,35,36,35,36,3,2,,1.0,,1,2.0,-0.09,0.09,45.9,0.7524753851182896,19.87127893173112,32.66604908607399,44.719227921440165,17.38359934905137
CH,2026-03-27,87.7,1.77,5.9,"Kikuchi, Yusei",514888,579328,,called_strike,,,,,8,Called Strike,R,R,L,HOU,LAA,S,,,0,1,2026,1.12,0.9,0.1137737226715587,1.8059726623369228,,,,1,5,Bot,,,,,,,-6.378452154291266,-127.50659127646053,-5.472614257939139,13.489774462164188,26.521673937236255,-21.4253383449284,2.926000656,1.476673228,,,,88.7,1856,7.0,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.54,,,,,,,,45,2,Changeup,2,5,2,5,5,2,2,5,Infield shade,Standard,155,-0.004,-0.052,,,,0.052,,-3,-3,0.162,0.162,35,36,35,36,3,2,,1.0,,1,2.07,1.12,-1.12,54.6,,,,,
SL,2026-03-27,85.1,2.16,5.72,"Kikuchi, Yusei",514888,579328,,swinging_strike,,,,,5,Swinging Strike,R,R,L,HOU,LAA,S,,,0,0,2026,-0.24,0.02,0.1722593731544068,2.3583225625726323,,,,1,5,Bot,,,,,,,-4.1879299387693525,-123.94991575566708,-1.4476749020866104,-1.7112488580510297,24.0155505221889,-31.911169340581743,2.926000656,1.476673228,,,,87.0,2576,7.4,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.11,,,,,,,,45,1,Slider,2,5,2,5,5,2,2,5,Infield shade,Standard,282,-0.003,-0.039,70.5,6.9,,0.039,,-3,-3,0.165,0.165,35,36,35,36,3,2,,1.0,,1,3.12,-0.24,0.24,49.3,9.053181611657031,17.34785469002447,34.93917429618189,43.40534107407204,16.27826625824396
SL,2026-03-27,85.9,2.17,5.68,"Kikuchi, Yusei",670623,579328,field_out,hit_into_play,,,,,11,Isaac Paredes pops out to third baseman Yoán Moncada.,R,R,L,HOU,LAA,X,5.0,popup,2,1,2026,-0.19,-0.03,-0.3037381911821071,3.3141584084153703,,,,0,5,Bot,99.7,160.61,,,,,-5.443029077524118,-125.01609587017388,0.9287881732903408,-0.8289641308926734,26.15157318586157,-32.867860957697886,3.180511811,1.60511811,121.0,71.1,65.0,86.5,2570,6.7,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.78,0.003,0.003,0.0,1.0,0.0,0.0,3.0,44,4,Slider,2,5,2,5,5,2,2,5,Infield shade,Standard,274,-0.032,-0.305,63.6,7.4,0.004,0.305,88.0,-3,-3,0.197,0.197,35,27,35,27,3,2,,1.0,,1,3.12,-0.19,0.19,46.4,13.288761513855306,-14.096567400634047,28.373309439507715,30.8588493163612,34.92575407490396
CH,2026-03-27,86.5,1.69,5.88,"Kikuchi, Yusei",670623,579328,,ball,,,,,13,Ball,R,R,L,HOU,LAA,B,,,1,1,2026,0.7,1.23,-1.072229061312426,0.4333048198032283,,,,0,5,Bot,,,,,,,-8.059616923455948,-125.47524440527584,-9.11935361458729,9.006008616451487,25.846224501441256,-17.454021676294875,3.180511811,1.60511811,,,,87.5,1579,7.2,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.35,,,,,,,,44,3,Changeup,2,5,2,5,5,2,2,5,Infield shade,Standard,157,0.006,0.055,,,,-0.055,,-3,-3,0.191,0.191,35,27,35,27,3,2,,1.0,,1,1.84,0.7,-0.7,53.6,,,,,
SL,2026-03-27,85.8,2.13,5.77,"Kikuchi, Yusei",670623,579328,,called_strike,,,,,7,Called Strike,R,R,L,HOU,LAA,S,,,1,0,2026,-0.41,-0.01,-0.6628927033499131,2.023066878034409,,,,0,5,Bot,,,,,,,-5.736888084694165,-124.92991686915244,-2.361878555345432,-3.1321481653369023,25.297202493114447,-32.05458297708316,3.180511811,1.60511811,,,,86.7,2523,6.9,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.63,,,,,,,,44,2,Slider,2,5,2,5,5,2,2,5,Infield shade,Standard,291,-0.006,-0.05,,,,0.05,,-3,-3,0.197,0.197,35,27,35,27,3,2,,1.0,,1,3.11,-0.41,0.41,44.7,,,,,
FC,2026-03-27,91.2,2.13,5.7,"Kikuchi, Yusei",670623,579328,,ball,,,,,13,Ball,R,R,L,HOU,LAA,B,,,0,0,2026,-0.23,0.93,-0.542340261297955,1.3867752719989286,,,,0,5,Bot,,,,,,,-6.195642663081829,-132.5799769141212,-6.81444502760119,-1.434876417992239,28.32744894810561,-19.903423635668684,3.180511811,1.60511811,,,,92.2,2249,7.0,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.55,,,,,,,,44,1,Cutter,2,5,2,5,5,2,2,5,Infield shade,Standard,157,0.005,0.041,,,,-0.041,,-3,-3,0.192,0.192,35,27,35,27,3,2,,1.0,,1,1.81,-0.23,0.23,47.2,,,,,
SL,2026-03-27,85.1,2.26,5.7,"Kikuchi, Yusei",670541,579328,home_run,hit_into_play,,,,,8,Yordan Alvarez homers (1) on a fly ball to right field.,R,L,L,HOU,LAA,X,,fly_ball,3,2,2026,-0.31,-0.32,0.0495388819819282,2.055465357976052,,,,0,5,Bot,228.42,84.26,,,,,-4.533940235615478,-123.99722739485996,-1.413634770087604,-2.3690690636248624,23.60352189979257,-35.464709244265684,3.392019357,1.711860236,378.0,104.9,27.0,86.2,2491,6.8,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.68,0.889,1.754,2.0,1.0,0.0,3.0,6.0,43,6,Slider,1,5,1,5,5,2,2,5,Infield shade,Standard,283,0.065,1.029,78.9,8.0,3.417,-1.029,104.9,-4,-4,0.127,0.127,35,29,35,29,3,2,,1.0,,1,3.45,-0.31,-0.31,46.2,17.054566726425254,-17.12836135158374,35.25791378359334,36.20105064255741,48.806830378047735
FF,2026-03-27,94.7,2.14,5.82,"Kikuchi, Yusei",670541,579328,,ball,,,,,12,Ball,R,L,L,HOU,LAA,B,,,2,2,2026,0.32,1.47,0.9249551026003155,3.366337360448587,,,,0,5,Bot,,,,,,,-3.9021834743185706,-137.82074123327564,-3.877269865679384,5.042145564202676,34.35768217177008,-12.88652832073836,3.392019357,1.711860236,,,,95.3,2224,6.9,824216,681351,694384,672724,660162,687263,666139,545361,666176,53.57,,,,,,,,43,5,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,151,0.008,0.112,,,,-0.112,,-4,-4,0.119,0.119,35,29,35,29,3,2,,1.0,,1,1.1,0.32,0.32,47.4,,,,,
